Vertecies;Edges;Dijkstra;FloydWarshall;BellmanFord;Danzig;
10;18;6240;19160;2520;32700;
60;708;174460;5425600;92060;4607000;
110;2398;363540;32097840;286500;25580880;
160;5088;628480;94667020;487400;69478780;
210;8778;962900;215526980;776680;155433280;
260;13468;1445640;408373600;1207460;296756100;
310;19158;1715000;689492820;1534580;498059720;
360;25848;2142800;1079715200;2096560;782621980;
410;33538;2666640;1602894340;2859440;1163909160;
460;42228;3280980;2267471640;3497760;1661590020;
510;51918;3490440;3115033400;3974180;2364037920;
560;62608;3774960;4154099420;4557900;3046181160;
610;74298;5463300;5361364020;5898400;3934817920;
660;86988;5392300;6830562160;6449740;5066302760;
710;100678;6559480;8528110620;7829240;6283460540;
760;115368;6506640;10499687580;8744680;7922225140;
810;131058;7361980;12765951160;10042620;9440443620;
860;147748;8620580;15293568520;11215880;11362646280;
910;165438;8997280;18191606920;13127380;13558012780;
960;184128;10193280;21377344740;14250840;15943856420;
1010;203818;10527400;24959254960;15497040;19944484140;
