Vertecies;Edges;Dijkstra;FloydWarshall;BellmanFord;Danzig;
10;9;2780;17360;2000;33980;
60;59;34300;4280340;22860;4546700;
110;109;44540;25620240;36880;23962380;
160;159;64060;69279120;46500;69331140;
210;209;81740;162267300;65140;153860700;
260;259;104100;303058760;107440;286535140;
310;309;118020;528236940;106360;502202940;
360;359;152900;829215940;126720;781067680;
410;409;166900;1197577760;148620;1153033580;
460;459;186520;1725958260;169020;1663187560;
510;509;205640;2347447940;184040;2333488160;
560;559;233120;3126374120;259840;2999418220;
610;609;253380;4073029420;247900;3916625880;
660;659;276520;5280318160;236340;4993126240;
710;709;299980;6448372480;285880;6257628720;
760;759;319560;8005007380;346800;7891581100;
810;809;337280;9798502600;331640;9389515760;
860;859;371520;11743464580;434160;11338360140;
910;909;391740;13903825120;352860;13432722480;
960;959;409520;16240651220;416180;15814441080;
1010;1009;443380;19053651360;466180;19835091620;
